time,x,y,z,vx,vy,vz,yaw_deg,pitch_deg,roll_deg
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,9.732958065695534e-08,5.6193259592406564e-08,0.00018692604795064806,2.0351049542945876e-05,1.1749683931911209e-05,0.05011106407713447,0.0,0.0,0.0
0.02,5.27497454298826e-07,3.0455079723626956e-07,0.0011127028161159323,6.592169725683096e-05,3.8059909656668366e-05,0.1371309393225723,0.0,0.0,0.0
0.03,1.5326084876470683e-06,8.848519229053404e-07,0.002943315584341737,0.00013512987858116035,7.801727177439437e-05,0.229329217291456,0.0,0.0,0.0
0.04,3.3455412040188265e-06,1.9315491147252543e-06,0.005700053616681012,0.00022741997514444102,0.00013130098386874097,0.32204509829361777,0.0,0.0,0.0
0.05,6.196008360906107e-06,3.5772670950703124e-06,0.009383702563646658,0.0003426112890759992,0.00019780671997543276,0.41465720905257386,0.0,0.0,0.0
0.060000000000000005,1.0312431380857168e-05,5.953885033737429e-06,0.01399246682611341,0.0004805954485068293,0.0002774719115667268,0.5070588422423391,0.0,0.0,0.0
0.07,1.5922270486794212e-05,9.192727151660671e-06,0.019524112767265955,0.0006412810096570264,0.00037024376355167916,0.5992320106456624,0.0,0.0,0.0
0.08,2.326584313576078e-05,1.3445547463919493e-05,0.025973210937923014,0.0008314018135916041,0.00048616573078620975,0.6903540763185014,-0.004416927687193389,0.007974415492116702,-0.011413686512116557
0.09,3.289646400194314e-05,1.931792372472225e-05,0.033311259140232294,0.0011172213865191538,0.0007196391920064108,0.7760922589560919,-0.019984695180609555,0.052200964641998915,-0.07181052692501252
0.09999999999999999,4.643376922015564e-05,2.8856092239934643e-05,0.04146634177738926,0.001638227155330851,0.0012508040140746324,0.8535103457944254,-0.03459476982744236,0.15121632518480352,-0.20037176849918606
0.10999999999999999,6.690838549140542e-05,4.586433641478484e-05,0.05035303477736003,0.0025197067091839607,0.0022313025231329455,0.9224315057606782,-0.043612722314176865,0.2920414073694405,-0.3793275506999426
0.11999999999999998,9.825724063582407e-05,7.522098804959631e-05,0.05988886123544842,0.003816911446506382,0.0037244454375508,0.983485646656993,-0.04793911325014674,0.4533919471175608,-0.5823539070174558
0.12999999999999998,0.0001446459291215293,0.00012204466108415611,0.06999814103090554,0.005523643232005573,0.005719287784690487,1.0372533755214832,-0.04970822169812379,0.6187698004545229,-0.7895370817905345
0.13999999999999999,0.00020999106342742626,0.00019112303365750454,0.08061112356039538,0.007600126340028211,0.008165239554638867,1.0843117524411316,-0.05067937437961203,0.7783477793493192,-0.9892085448753909
0.15,0.0002977376554465047,0.0002866532622404034,0.09166368405092835,0.009994581494352303,0.010998086238940637,1.12522202157515,-0.05188955230562566,0.9275998909009624,-1.1761132639258793
0.16,0.0004108127848714199,0.00041219356597999056,0.10309735542911745,0.012653188653832408,0.014151706362900383,1.1603966724957235,-0.053768112698089954,1.0652277491150224,-1.3488423804714855
0.17,0.000551624760052668,0.0005706665392795927,0.11485728432722007,0.015534154365931044,0.017575060727511485,1.19053504294883,-0.05637596953445599,1.1914566402521447,-1.5077711438265782
0.18000000000000002,0.000722179516160734,0.0007645041483907336,0.12689455900772265,0.018599087095730125,0.02122139891545652,1.2160882791526817,-0.059583956238677446,1.307009126062561,-1.6538246519509703
0.19000000000000003,0.0009241482664226223,0.0009957311721326264,0.13916539823367785,0.02180911752818381,0.025043334736555827,1.2372125735881512,-0.06321438943702708,1.4125829177677942,-1.7878703137956418
0.20000000000000004,0.0011588489803499513,0.0012659420319656154,0.15162778869298627,0.025141026537979307,0.029012718763116264,1.254458880871176,-0.0670851781591369,1.5087602195930014,-1.9106213714142355
0.21000000000000005,0.0014273742954653513,0.001576457978073423,0.16424445367404203,0.02857056717676075,0.03310010816228149,1.2681352131960355,-0.07103813375012646,1.5959283479654076,-2.0225450842865516
0.22000000000000006,0.0017305959172365033,0.001928332121297083,0.1769812456861581,0.03207741310387394,0.037280843704444545,1.2785491980984787,-0.07493925828459273,1.6743503723893576,-2.1239537221442535
0.23000000000000007,0.002069196968905186,0.0023223888790237187,0.1898070068878284,0.03564401107036091,0.04153364611349872,1.285989345590449,-0.07867655575753589,1.7442092229288335,-2.2150599444194423
0.24000000000000007,0.002443696305024143,0.0027592535953964875,0.20269335700471605,0.039254966396092494,0.04583986468664131,1.2907225998976755,-0.08215642563997634,1.8056433552265094,-2.296020839297987
0.25000000000000006,0.0028544679121045714,0.0032393761547719977,0.21561448023334992,0.04289663436794289,0.050182977574797547,1.292995189825434,-0.08530068762617622,1.858772076942137,-2.366969019323666
0.26000000000000006,0.003301756817201197,0.0037630503231665634,0.2285469250240425,0.04655681773698261,0.05454822155786415,1.2930340640984934,-0.08804468337636664,1.9037123471395634,-2.42803328490257
0.2700000000000001,0.0037856923332250146,0.004330429829065819,0.24146941862803267,0.05022453140880995,0.0589223038498807,1.2910483497217295,-0.09033625465964738,1.9405896634453008,-2.479352138970841
0.2800000000000001,0.0043062992047104304,0.004941541872241338,0.2543626958444248,0.0538898151776255,0.06329317265206921,1.2872307227401754,-0.09213523836213053,1.9695451795936478,-2.5210827659306023
0.2900000000000001,0.0048635070738206575,0.005596298574391317,0.2672093409601354,0.05754358340446305,0.06764983297619342,1.2817586753016974,-0.09341316454968568,1.990740441676054,-2.5534071357841377
0.3000000000000001,0.005457158597222504,0.00629450677713089,0.2799936418527225,0.06117750437552716,0.07198219890558363,1.2747956824259599,-0.09415294597765701,2.004360511824447,-2.5765361361767067
