Epoxies:,,,
,,,
,,,DGEBA-Autohardener70
,,,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4
,,,C(N)OC(=O)C1=CC=CC(N)=C1C(=O)OC
,,,
,,,DGEBA-Autohardener96
,,,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4
,,,O=C(C1=CC=CC(N)=C1)C1=CC(N)=CC=C1
,,,
,,,DGEBA-Autohardener142
,,,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4
,,,O=S(=O)(C1=C(N)C=CC=C1)C1=CC=C(N)C=C1
,,,
,,,DGEBA-dDAP_Base134
,,,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4
,,,NCC(=O)C(COC)N
,,,
,,,DGEBA-dMPDA_Base117
,,,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4
,,,COCc1c(N)ccc(C)c1N
,,,
,,,DGEBA-dMPDA_Base227
,,,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4
,,,c1c(C)cc(N)c(COC)c1(N)
,,,
,,,DGEBA-MPDA_Base4
,,,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4
,,,Cc1c(N)cccc1N
,,,
,,,DGEBF-IPD
,,,C1C(O1)COC2=CC=C(C=C2)CC3=CC=C(C=C3)OCC4CO4
,,,CC1(CC(CC(C1)(C)CN)N)C
